AO,BE
Deportivo Pereira,Pereira
Deportivo Petapa,Petapa
Deportivo Riestra,Dep. Riestra
Deportivo Saprissa,Saprissa
Deportivo Tachira,Dep. Tachira
Derry City,Derry City
Dinamo Zagreb,D. Zagreb
Dorados De Sinaloa,Dorados de Sinaloa
Dukla Praha U21,Dukla Prague U21
Dunav Ruse,Dunav Ruse
Dundalk,Dundalk
Dynamo Barnaul,Dynamo Barnaul
Dynamo Moscow U21,Dynamo Moscow U21
Dynamo Stavropol,Dynamo Stavropol
ES Setif,ES Setif
East Bengal,East Bengal
Ecuador (N),Ecuador
Eintracht Norderstedt,Norderstedt
El Ahly Cairo (N),Al Ahly
El Dakhleya,El Daklyeh
El Nacional Quito,EL Nacional
El Porvenir,El Porvenir
Emelec Guayaquil,Emelec
Emirates Club,Emirates Club
Empoli,Empoli
England,England
Envigado FC,Envigado
Esbjerg FB,Esbjerg
Eskilsminne IF,Eskilsminne
Estoril,Estoril
Etoile Sahel,Etoile Sahel
FC Armavir,Armavir
FC Copenhagen,FC Copenhagen
FC Eindhoven,Eindhoven FC
FC Elva,Elva
FC Helsingor,Helsingor
FC Liefering,Liefering
FC Machida Zelvia,Machida
FC Magdeburg,Magdeburg
FC Martinenc,Martinenc
FC Petrzalka,Petrzalka
FC Roskilde,Roskilde
FC Seoul,Seoul
FC Tambov,FC Tambov
FC Tyumen,Tyumen
FC Ufa,Ufa
FC Vilafranca,Vilafranca
FK Banik Sokolov,Sokolov
FK Jablonec,Jablonec
FK Jablonec U21,Jablonec U21
FK Litomericko,Litomericko
FK Palanga,Palanga
FK Pohronie,Pohronie
FK Pribram U21,Pribram U21
FK Qarabag,Qarabag
FK Suduva,Suduva
FK Teplice U21,Teplice U21
FK Trakai,Trakai
FK Urozhay Krasnodar,Urozhay
FSV Frankfurt,FSV Frankfurt
Fakel Voronezh,F. Voronezh
Faroe Islands,Faroe Islands
Fastav Zlin,Zlin
Fastav Zlin U21,Zlin U21
Feirense,Feirense
Fenerbahce,Fenerbahce
Figueirense SC,Figueirense
Finn Harps,Finn Harps
Flamengo RJ U20,Flamengo RJ U20
Flora Tallinn,Flora
Floridsdorfer AC,Floridsdorfer AC
Fluminense RJ,Fluminense
Fluminense RJ U20,Fluminense U20
Follo,Follo
Food Corporation Of India (N),Food Corporation
Foolad Khuzestan,Foolad
Fortaleza CE,Fortaleza
Fortuna Sittard,Sittard
Fotbal Trinec U21,Trinec U21
Fremad Amager,F. Amager
GAIS Goteborg,GAIS
GKS Belchatow,GKS Belchatow
GKS Jastrzebie,GKS Jastrzebie
Galway United,Galway
Gamba Osaka,G-Osaka
Gangwon FC,Gangwon
General Diaz,Diaz
Genoa,Genoa
Germany U19,Germany U19
Gibraltar,Gibraltar
Girona,Girona
Go Ahead Eagles,G.A. Eagles
Goias GO,Goias
Golden Arrows,Golden Arrows
Gornik Leczna,Leczna
Greece,Greece
Guadalajara Chivas (W),Guadalajara Chivas W
Guarani Asuncion,Guarani
Guarani SP,Guarani
Guatemala,Guatemala
Guizhou Hengfeng,Guizhou Zhicheng
HIFK,HIFK
HJK Helsinki,HJK
HNK Gorica,Gorica
Haka,Haka
Hapoel Afula,Hapoel Afula
Hapoel Ashkelon,Ashkelon
Hapoel Beer Sheva,H. Beer Sheva
Hapoel Hadera,Hapoel Hadera
Hapoel Haifa,Hapoel Haifa
Hapoel Katamon Jerusalem,Hapoel Katamon
Hapoel Kfar Saba,Hapoel Kfar-Saba
Hapoel Marmorek Ironi Rehovot,H. Marmorek
Hapoel Natzrat Illit,H. Nazareth
Hapoel Nir Ramat Hasharon,Ramat Hasharon
Heidelberg United,Heidelberg Utd
Helmond Sport,Helmond
Helsingborgs IF,Helsingborg
Hobro IK,Hobro
Honduras Progreso,CD Honduras
Hong Kong (W),Hong Kong W
Honka Espoo,Honka
Huachipato,Huachipato
Hull City,Hull City
Hull City AFC U23,Hull City U23
Hvidovre IF,Hvidovre
Hyde United,Hyde
IF Floya,Floya
IFK Mariehamn,Mariehamn
IFK Varnamo,Varnamo
IK Brage,Brage
IK Frej Taby,Frej
Iceland,Iceland
Ilves Tampere,Ilves
Incheon United,Incheon
Independiente,Independiente
Independiente CG,Independiente
Independiente Medellin,Ind. Medellin
Independiente Santa Fe,Santa Fe
Independiente de La Chorrera,Independiente
Independiente del Valle,Ind. del Valle
India U16,India U16
Institute,Institute
Inter Zapresic,Zapresic
Internacional RS,Internacional
Ipswich Town FC U23,Ipswich U23
Irtysh Omsk,Omsk
Israel,Israel
Italy,Italy
JK Tallinna Kalev,Tallinna Kalev
Jaguares de Cordoba,Jaguares de Cordoba
Jamaica,Jamaica
Jaro,Jaro
Jazz,Jazz Pori
Jeonbuk Hyundai Motors,Jeonbuk
Jong Ajax,Jong Ajax
Jonkopings Sodra,Jonkopings
Juan Aurich,Juan Aurich
Juarez,Juarez
Junior Barranquilla,Junior
Juventus U23,Juventus U23
KAA Gent,Gent
KFC Uerdingen 05,Uerdingen
KPV Kokkola,KPV Kokkola
KRC Genk,Genk
Kaizer Chiefs,Kaizer Chiefs
Kashima Antlers,Kashima
Kashiwa Reysol,Kashiwa
Kawasaki Frontale,Kawasaki Frontale
Kazakhstan U19,Kazakhstan U18
Khimik Novomoskovsk,Khimik Novomoskovsk
Kickers Offenbach,Kickers Offenbach
Kidderminster Harriers,Kidderminster
Kingston City,Kingston City
Kjellerup,Kjellerup
Klubi 04,Klubi 04
Kolstad Fotball,Kolstad
Krasnodar U21,Krasnodar U21
Krylia Sovetov Samara U21,Krylya Sovetov Samara U21
Kryliya Sovetov,FK Krylya Sovetov Samara
Kyrgyzstan,Kyrgyzstan
Kyrgyzstan U18,Kyrgyzstan U18
LDU Quito,LDU Quito
LKS Lodz,LKS Lodz
La Equidad Bogota,La Equidad
Lahti,Lahti
Lancaster City,Lancaster
Landskrona BoIS,Landskrona
Las Rozas CF,Las Rozas
Latvia U21,Latvia U21
Leandro Niceforo Alem,Leandro N. Alem
Lechia Gdansk,Lechia Gdansk
Leeds United,Leeds
Leeds United U23,Leeds U23
Leones FC,Leones
Levanger FK II,Levanger 2
Levski Sofia,Levski Sofia
Liechtenstein U21,Liechtenstein U21
Lillestrom SK II,Lillestrom 2
Limon FC,Limon
Lincoln City,Lincoln City
Lithuania U19,Lithuania U18
Liverpool Montevideo,Liverpool M.
Livorno,Livorno
Llaneros,Llaneros
Loko Vltavin,Vltavin
Lokomotiv Plovdiv,Lok. Plovdiv
Lokomotiva Kosice,Lok. Kosice
Londrina PR,Londrina
Lorient,Lorient
Los Angeles Galaxy II,LA Galaxy 2
Louisville City,Louisville City
Luch Vladivostok,Luch
Ludogorets Razgrad,Ludogorets
Lyngby BK,Lyngby
MC Alger,MC Alger
MO Bejaia,MO Bejaia
MOL Vidi,MOL Vidi
MSK Zilina,Zilina
MVV Maastricht,Maastricht
Maccabi Tel Aviv,Maccabi Tel Aviv
Malaga,Malaga
Malmo FF,Malmo FF
Malta,Malta
Mamelodi Sundowns,Mamelodi Sundowns
Manchester United,Manchester United
Melbourne City,Melbourne City
Metaloglobus Bucuresti,Metaloglobus
Metropolitanos,Metropolitanos
Metropolitanos FC,Metropolitanos
Middlesbrough,Middlesbrough
Midtjylland,Midtjylland
Millonarios,Millonarios
Millonarios Bogota,Millonarios
Millwall,Millwall
Millwall U23,Millwall U23
Moldova U19,Moldova U18
Moldova U21,Moldova U21
Monagas SC,Monagas
Monarcas Morelia,Monarcas
Mosta FC,Mosta
Municipal Grecia,Grecia
ND Ilirija 1911,Ilirija
NEC Nijmegen,Nijmegen
NK Dinamo Zagreb 2,NK Dinamo Zagreb 2
NK Hrvatski Dragovoljac,Dragovoljac
NK Olimpija Ljubljana,NK Olimpija Ljubljana
NK Rudes,Rudes
NK Solin,Solin
Nacional Potosi,Nacional Potosi
Napoli,Napoli
Nashville SC,Nashville SC
Nea Salamis,Nea Salamis
Necaxa,Necaxa
Netherlands,Netherlands
Netherlands U20,Netherlands U20
New York Red Bulls,New York Red Bulls
Newcastle Jets,Newcastle Jets
Nomme JK Kalju II,Nomme Kalju U21
Norrby IF,Norrby
North Carolina,North Carolina
Northern Ireland,Northern Ireland
Northern Mariana Islands (W),Northern Mariana Islands W
Nottingham Forest FC U23,Nottingham U23
Nurnberg Am,Nurnberg II
Nykobing FC,Nykobing
OKS Stomil Olsztyn,Olsztyn
Odra Opole,Odra Opole
Oeste FC SP,Oeste
Oeste SP,Oeste
Olimpia Asuncion,Olimpia Asuncion
Olimpia Elblag,Elblag
Olympique Medea,Medea
Once Caldas,Once Caldas
Orgryte IS,Orgryte
Oriente Petrolero,Oriente Petrolero
Orlando City SC,Orlando City
Orlando Pirates,Orlando Pirates
Orsomarso,Orsomarso
Orsomarso SC,Orsomarso
Osijek,Osijek
Osters IF,Osters
PAOK Thessaloniki,PAOK
PEC Zwolle (W),PEC Zwolle W
PFC Ludogorets Razgrad II,Ludogorets II
PFC Septemvri Sofia,Septemvri Sofia
PFC Sochi,Sochi
PKNS,PKNS FC
PS Kemi Kings,PS Kemi
PS TIRA,PS Tira
PSV Eindhoven,PSV
Paide Linnameeskond,Paide
Pakistan,Pakistan
Palestine,Palestine
Palmeiras SP,Palmeiras
Parana PR,Parana
Parma,Parma
Pathachakra,Patha Chakra
Patronato Parana,Patronato
Pau FC,Pau
Paykan,Paykan
Peerless SC,Peerless
Persela Lamongan,Persela Lamongan
Persepolis,Persepolis
Persipura Jayapura,Persipura Jayapura
Petrolul Ploiesti,Petrolul
Philadelphia Union,Philadelphia Union
Pinzgau Saalfelden,Saalfelden
Platanias FC,Platanias FC
Plymouth Argyle,Plymouth
Podbeskidzie Bielsko Biala,Podbeskidzie
Pogon Szczecin,Pogon Szczecin
Pohang Steelers,Pohang
Poland U21,Poland U21
Police FC Saint James,Police
Portimonense SC U23,Portimonense U23
Portimonense U23,Portimonense U23
Portland Timbers,Portland Timbers
Portugal U20,Portugal U20
Portugal U21,Portugal U21
Preston North End,Preston
Pumas UNAM,U.N.A.M.- Pumas
Pyunik,Pyunik Yerevan
Qingdao Huanghai,Qingdao Huanghai
Queens Park Rangers,QPR
Queretaro (W),Queretaro W
Racing Club,Racing Club
Racing Santander,Santander
Rad Belgrade,Rad Beograd
Rakow Czestochowa,Rakow
Rakvere Tarvas,Rakvere
Rangers FC,Rangers
Rapid Wien,Rapid Vienna
Reading,Reading
Real Betis,Betis
Real Cartagena,Cartagena
Real Oviedo,R. Oviedo
Real Potosi,Real Potosi
Real Santander,Real Santander
Real Sociedad,Real Sociedad
Recreativo Huelva,Recreativo Huelva
Reggina,Reggina 1914
Richmond Kickers,Richmond Kickers
Rigas Futbola skola,RFS
Rionegro Aguilas,Aguilas
RoPS Rovaniemi,Rovaniemi
Rochdale,Rochdale
Romania,Romania
Rosenborg,Rosenborg
Rosenborg II,Rosenborg 2
Rostov FK,FK Rostov
Rostov U21,FK Rostov U21
Rotherham United,Rotherham
Rubin Kazan U21,Rubin Kazan U21
Ruch Chorzow,Ruch
Russia,Russia
Russia U18,Russia U18
SC Cambuur,Cambuur
SC ESV Parndorf,Parndorf
SC Freiburg Am,Freiburg II
SC Hessen Dreieich,Hessen Dreieich
SC Kalsdorf,Kalsdorf
SC KuFu 98,KuFu-98
SC Wiener Neustadt,Neustadt
SC Znojmo,Znojmo
SD Amorebieta,Amorebieta
SD Solares-Medio Cudeyo,Solares
SD Torina,Torina
SG Sonnenhof Grossaspach,Grossaspach
SK Brann II,Brann 2
SK Dynamo Ceske Budejovice U19,Ceske Budejovice U19
SK Dynamo Ceske Budejovice U21,Ceske Budejovice U21
SK Prostejov,Prostejov
SK Rapid Wien II,SK Rapid Vienna (Am)
SK Sigma Olomouc U21,Sigma Olomouc U21
SK Slavia Praha U21,Slavia Prague U21
SK Unicov,Unicov
SKA-Khabarovsk,SKA Khabarovsk
SS Politehnica Timisoara,Politehnica Timisoara
SSV Ulm 1846,Ulm
SV Horn,Horn
SV Kapfenberger,Kapfenberg
SV Lafnitz,Lafnitz
SV Ried,Ried
SV Sandhausen,Sandhausen
SV Straelen,Straelen
Sagan Tosu,Sagan Tosu
Saipa Karaj,Saipa
Sampaio Correa MA,Sampaio Correa
San Francisco FC,San Francisco
San Juan Jabloteh,San Juan Jabloteh
San Telmo Isla Maciel,San Telmo
Sanat Naft,Sanat Naft
Sandecja Nowy Sacz,Sandecja Nowy S.
Santiago Wanderers,S. Wanderers
Santos de Guapiles,Santos DG
Sao Bento SP,Sao Bento
Sao Paulo SP,Sao Paulo
Scotland U21,Scotland U21
Scunthorpe United,Scunthorpe
Seattle Sounders II,Seattle 2
Sektzia Nes Tziona,Nes Tziona
Seongnam,Seongnam
Seoul (W),Seoul W
Seoul E Land,Seoul E.
Serbia,Serbia
Sevilla,Sevilla
Shabab Al Ahli Dubai,Shabab Al-Ahli Dubai
Shakhtar Donetsk,Shakhtar Donetsk
Shandong Luneng Taishan,Shandong Luneng
Shanghai SIPG,Shanghai SIPG
Sheffield United,Sheffield Utd
Sheffield United FC U23,Sheffield Utd U23
Sheffield Wednesday,Sheffield Wed
Sheffield Wednesday U23,Sheffield Wed U23
Shenyang Urban,Shenyang Urban FC
Shijiazhuang Ever Bright,Shijiazhuang
Shimizu S-Pulse,Shimizu
Shinnik Yaroslavl,Shinnik Yaroslavl
Shirak,Shirak Gyumri
Shonan Bellmare,Shonan
Sibir Novosibirsk,Sibir
Sibir Novosibirsk II,Sibir 2
Sigma Olomouc,Sigma Olomouc
Silkeborg,Silkeborg
Singapore,Singapore
Slaven Koprivnica,Slaven Belupo
Slovacko U21,Slovacko U21
Slovakia U19,Slovakia U19
Sol de America,Sol de America
Sparta Praha,Sparta Prague
Sparta Praha (W),Sparta Prague W
Sparta Praha U21,Sparta Prague U21
Spartak Nalchik,Spartak Nalchik
Spartak Trnava,Trnava
Sport Boys Association,Sport Boys
Sport Boys Warnes,Sport Boys
Sport Club do Recife,Sport Recife
Sport Huancayo,Sport Huancayo
Sporting Kansas City,Sporting Kansas City
Sporting Lisbon,Sporting
St. Patricks Athletic,St. Patricks
Stabaek (W),Stabaek W
Stal Mielec,Stal Mielec
Steaua Bucuresti,FCSB
Stjarnan,Stjarnan
Stoke City,Stoke
Stromsgodset IF II,Stromsgodset 2
Stumbras,Stumbras
Suwon,Suwon City
Swansea City,Swansea
Sweden U21,Sweden U21
Switzerland,Switzerland
Switzerland U21,Switzerland U21
Swope Park Rangers,Swope Park
Syria,Syria
TPS Turku,TPS
TSG Hoffenheim U19,Hoffenheim U19
TSV Havelse,TSV Havelse
Tai Po,Tai Po
Talleres de Escalada,Talleres (R.E)
Tampa Bay Rowdies,Tampa Bay
Tartu Santos,Santos Tartu
Tauro FC,Tauro
Tecnico Universitario Ambato,Tecnico U.
Tekstilshchik Ivanovo,Tekstilshtik
The New Saints,TNS
Thisted FC,Thisted FC
Tigres FC,Tigres
Tillerbyen Fk,Tillerbyen
Tokyo Verdy,Verdy
Tollygunge Agragami (N),Tollygunge Agragami
Tom Tomsk,Tomsk
Toronto II,Toronto FC 2
Torpedo Moscow,T. Moscow
Torpedo Zhodino,Zhodino
Tristan Suarez,Tristan Suarez
Trondheims Orn (W),Trondheims-Orn W
Turkey U19,Turkey U18
Tusker,Tusker
UD Ibarra,Ibarra
UD Los Garres,UD Los Garres
UE Castelldefels,Castelldefels
UE Figueres,UE Figueres
US Avranches,Avranches
US Orleans,Orleans
USA,USA
USM Alger,USM Alger
UTA Arad,UTA Arad
Ukraine U21,Ukraine U21
Union Magdalena,U. Magdalena
Union San Felipe,San Felipe
Union Santa Fe,Union de Santa Fe
Union Sunchales,Union Sunchales
Universidad Catolica Quito,U. Catolica
Universidad De Chile Santiago,U. De Chile
Universidad de Costa Rica,U.C.R.
Universitatea Cluj,U. Cluj
Ural Sverdlovsk Oblast,Ural
Ural Yekaterinburg U21,Ural U21
Uzbekistan,Uzbekistan
Vaasa VPS,VPS
Valledupar FC,Valledupar
Vasco Da Gama RJ U20,Vasco U20
Vasco da Gama RJ,Vasco
Vejle BK,Vejle
Venados,Venados
Ventspils,Ventspils
VfB Auerbach,Auerbach
VfB Stuttgart U19,Stuttgart U19
VfL Bochum,Bochum
VfL Osnabruck,VfL Osnabruck
VfL Wolfsburg Am,Wolfsburg II
VfR Garching,Garching
Vietnam U16,Vietnam U16
Viktoria Otrokovice,Otrokovice
Vila Nova GO,Vila Nova FC
Villa San Carlos,Villa San Carlos
Vissel Kobe,Kobe
Volga Ulyanovsk,Ulyanovsk
Volgar Astrakhan,Volgar-Astrakhan
Vorskla Poltava U21,Vorskla Poltava U21
Vysocina Jihlava U19,Jihlava U19
WSG Swarovski Wattens,Wattens
Wadi Degla,Wadi Degla
Wales,Wales
Wales U21,Wales U21
Warrington Town,Warrington
Warta Poznan,Warta Poznan
Washington D.C. United,DC United
Waterford FC,Waterford
Watford,Watford
Watford U23,Watford U23
Werder Bremen Am,SV Werder Bremen II
West Bromwich Albion,West Brom
West Bromwich Albion U23,West Brom U23
West Ham United U23,West Ham U23
Western Sydney Wanderers,WS Wanderers
Wexford,Wexford
Wigan Athletic,Wigan
Winterthur,Winterthur
Wormatia Worms,Worms
Wydad Casablanca,Wydad
Xinjiang Tianshan Leopard,Xinjiang Tianshan
Yokohama Marinos,Yokohama M.
Young Boys,Young Boys
Young Violets Austria Vienna,FK Austria Vienna (Am)
Zalgiris Vilnius,Zalgiris
Zamora,Zamora
Zamora CF,Zamora
Zbrojovka Brno,Brno
Zbrojovka Brno U19,Brno U19
Zenit St. Petersburg 2,Zenit Petersburg 2
Zob Ahan,Zob Ahan
Zulia,Zulia
Zulte Waregem,Waregem
Zweigen Kanazawa,Kanazawa
AC Kajaani,AC Kajaani
AD Parla,Parla
Aalesund,Aalesund
Academia Puerto Cabello,Puerto Cabello
Al Hala,Al-Hala
Al Sareeh,Al Sareeh
Albirex Niigata,Albirex Niigata
Aston Villa,Aston Villa
Atalanta,Atalanta
Badalona,Badalona
Baltika Kaliningrad,Baltika
Belgrano de Cordoba,Belgrano
Bray Wanderers,Bray
Brommapojkarna,Brommapojkarna
CD Teruel,Teruel
Celta Vigo,Celta Vigo
Celta Vigo B,Celta Vigo B
Club Xelaju MC,Xelaju
Curico Unido,Curico Unido
DAV Santa Ana,Santa Ana
Deportivo Fabril,Dep. La Coruna B
Deportivo Moron,Deportivo Moron
Deportivo Pasto,Dep. Pasto
Deportivo Toluca,Toluca
Difaa El Jadida,Difaa El Jadidi
Dock Sud,Dock Sud
Ecija Balompie,Ecija
El Entag El Harby,El-Entag El-Harby
El Ittihad Alexandria,Al Ittihad
Entente SSG,Sannois
FC Dallas,FC Dallas
FK Liepaja / Mogo,FK Liepaja
FK Pribram U19,Pribram U19
Fagiano Okayama,Okayama
Ferro Carril Oeste General Pico,Ferro Gen.Pico
Fortaleza CEIF,Fortaleza
Getafe,Getafe
Gimnasia Mendoza,Gimnasia Mendoza
Grazer AK,Grazer
Gremio Porto Alegrense,Gremio
Gryf Wejherowo,Gryf Wejherowo
Hapoel Bnei Lod,Hapoel Bnei Lod
Haukar,Haukar
Heilongjiang Lava Spring,Heilongjiang Lava
Houston Dynamo,Houston Dynamo
KVC Westerlo,Westerlo
Kyoto Sanga,Kyoto
Levadiakos,Levadiakos
Lillestrom,Lillestrom
Lori Vanadzor,Lori
MFK Zemplin Michalovce,Michalovce
Mar Menor CF,Mar Menor
Mito Hollyhock,Mito
NK Radomlje,Radomlje
Odder IGF,Odder
Olimpik Donetsk,Olimpik Donetsk
Parnu JK Vaprus,Parnu JK Vaprus
Partizan Belgrade,Partizan
Real Zaragoza Deportivo Aragon,Zaragoza B
Royale Union St Gilloise,St. Gilloise
SD Gernika,Gernika
SK Vorwarts Steyr,Vorwarts Steyr
SalPa Salo,SalPa
Sandefjord Fotball II,Sandefjord 2
Santa Fe Bogota,Santa Fe
Senglea Athletic,Senglea Athletics
Skive IK,Skive
Sparkasse Gleisdorf,Gleisdorf
Sparta Praha U19,Sparta Prague U19
Spartak Moscow 2,Spartak Moscow 2
Sporting Braga,Braga
Sporting San Miguelito,Miguelito
